"구분","항목별","항목","단위","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"합계","총계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","42223.1","40330.4","38165.2","38669","39384.2","40768.2","42782.9","42918.1","41578","40566.5","40899.6","42570.8","42268.9","42085.8","40920.4","40941.7","41644.2","40542.7","42355.2","43411.2","45460.3","45008.9","46749.3","45912.1",
"합계","소계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","16574.7","16471.8","17204.6","17479.4","17495.5","18224.4","18157.2","19505","19660.8","20361","20971.1",
"합계","소계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","25427.1","24090","22545.3","22913.4","23738.2","24779.1","25880.7","25313.5","25150.5","24630.8","14905.8","14829.1","14428.4","14244.7","13994.9","14684.6","14898.5","14750.2","15291.7","15383.3","16366.6","16346.9","16791.6","18031.9",
"합계","음식물류폐기물","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","12411.6","11037.5","10102.2","9621.5","9902.3","9773.2","9770","9172.7","9618.1","10697.7","975","617.8","850.1","360.4","202.6","233.8","158.3","140.2","424.5","972.1","1127.4","1333.8","1530.7","1408.7",
"합계","폐지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","5390.7","5034.9","4816.5","4987.2","4802.5","5002.6","4988.7","5001.3","5104","4894","4605","4899.6","4579.5","4428.5","4355.3","4598","4964.8","4990.9","5039.9","5047","5371.1","4980.5","4985.9","4870.2",
"합계","폐합성수지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","4416.5",
"합계","폐목재류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1489.9","1507.3","1522","1528.8","1656.6","2121","2133.1","2222","2119.2","1900","1927.6","1669.8","1367.3","1310","1245.1","1403.6","1398.1","1305","1218.2","1087.7","1081.1","1115.1","1196.3","1186",
"합계","폐섬유류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","880.9",
"합계","폐고무류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","918.9","911.9","970.2","960.1","1014","1022.2","1109.1","1160","1133.6","1071.3","1033.3","957.3","936.9","877.7","820.3","861.4","974.4","901.1","820.7","817.2","994","912.2","989","511.9",
"합계","플라스틱류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1782.9","1872.8","1776.6","1900.3","1952","2093.1","2258.2","2216.7","2278.3","2120.5","2316.5","2395.4","2213.1","2197.4","2199.4","2220.5","2483","2509.5","2656.4","2858.7","3265.3","3546.9","3752.8","",
"합계","기타","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","3433.1","3725.6","3357.8","3915.5","4410.8","4767","5621.6","5540.8","4897.4","3947.3","4048.3","4289.3","4481.6","5070.7","5172.2","5367.3","4919.9","4903.5","5132","4600.6","4527.7","4458.4","4336.9","4757.7",
"합계","소계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","6295.1","5606.8","4550.7","4326.9","4309.9","4251.3","4375.4","4609.6","3915.2","3389.6","3129.5","2839.3","2628.6","2330","2476.9","2520","2580.9","2745.3","2932.7","2773.9","2584.7","2652.7","2811.3","2405.4",
"합계","연탄재","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1724.2","1170.3","885.8","669.6","598.6","547.1","478.5","539.8","509","567.5","502","","","","","","","","","","","","","143.5",
"합계","폐유리류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","359.3","345.1","340.5","357.4","371.15","392.8","389","412.8","480","430","500.9","639.9","612.4",
"합계","폐금속류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1160.7","1109.3","880","848.7","797.8","799.4","738.7","736.6","723.1","604.7","633.4","484.6","397.4","316","305.4","299.75","300.7","314.6","343","404.3","394.1","375.5","443.5","435.4",
"합계","폐토사류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1181.2","1230.3","949.6","877.3","942.2","911.3","869.3","922.9","764.5","686.5","649.1","588.7","521.7","445.4","450.7","458.5","447.1","475.3","445.6","298.7","327.9","335.5","314.4","196.1",
"합계","폐타일 및 도자기류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","142.1",
"합계","기타","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","2229","2096.9","1835.3","1931.3","1971.3","1993.5","2288.9","2410.3","1918.6","1530.9","1344.9","1406.7","1364.4","1228.1","1363.4","1390.6","1440.3","1566.4","1731.3","1590.9","1432.7","1440.8","1413.5","875.9",
"합계","건설폐재류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","250.2",
"합계","기타(배출불명 등)","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","553.7","661.2","758.1","283.6",
"합계","소계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","10500.9","10633.6","11069.2","11428.7","11336.1","11737.8","12526.8","12995","12512.2","12546.1","12908.9","12877.6","12806.5","13469","12868.1","12308.5","12666.8","12037","12394.2","11928.5","12413.3","11946.3","13028.4","11802.2",
"합계","종이팩","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","473.5",
"합계","기타","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","3015.7",
"합계","종이류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","6080.5","5854","5479.3","5548.9","5330.8","5142.4","5547.7","5840.9","5406.3","5213.9","5134.8","5015","4673","4577.3","4359.6","3910.82","4115.1","3817.9","4130.18","4133.8","4236.2","3877.8","3889.1","",
"합계","폐유리병류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1025.4","1266.9","1465.8","1632.1","1731.3","1974","2088.2","2128.1","2082.7","2100.1","2170.1","2124.8","2139.9","2080.8","1872.3","1764.26","1740.6","1678.2","1693.86","1580.9","1582.4","1491.7","1223.8","772.3",
"합계","캔류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","466.3","530.3","589.3","571.4","513.1","523","588.1","581.4","659.9","657.9","700.4","651.5","685.4","627.8","718.9","669.83","679.7","634.9","663.09","664.9","686.5","638.1","","",
"합계","금속캔","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","589.8","395.6",
"합계","비닐류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","1210.9",
"합계","발포수지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","160.7",
"합계","PET병","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","517.2",
"합계","기타","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","715.5",
"합계","폐고무류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","35.8",
"합계","플라스틱류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","660.3","645.1","785.4","886.4","917","1034.5","1138.5","1195","1225.9","1364.8","1511.2","1518.5","1487","1301.6","1197.2","1120.53","1187.8","1067.8","1067.26","1014.9","966.7","1082.1","1226.2","",
"합계","합성수지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","555.4","644.7","745","720.1","842.54","892.4","922.2","968.8","1017.5","1147","1203","1295.7","",
"합계","발포수지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","109.3","131","135.1","",
"합계","폐전기전자제품","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","305.6","298.3","160.3","175.1","146.98","168.8","123.1","112.5","120.1","150.6","141.8","164.1","226.7",
"합계","폐전지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","8","10","4.2","7.7","47","56.7","68","46.2","20.8","18.4","16","11.9","34.2",
"합계","농약용기류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","61.7",
"합계","폐비닐","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","424",
"합계","타이어","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","23.1","13.6","141.8","37.7","29.5","22.6","17.7","11.4","9.4","19","28.5","43.9","",
"합계","윤활유","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","11.5","2.2","212","30.4","29.9","24.9","16.9","4.9","5","26.5","28.3","24.9","",
"합계","폐형광등","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","74","58.2","33.8","138.2","67.3","47.7","56.4","148.5","48","177.5","147.2","89.9","46.9",
"합계","고철류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1731.2","1888.6","2217","2112.6","2083.7","2269.3","2316.1","2372.3","2181.5","2172.3","2262.3","1482.5","1672.9","1960.6","1720.6","1723.97","2001.1","1987","1902.18","1630.8","1634.5","1418.3","1228.1","1014.5",
"합계","폐의류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","122","149.8","160.6","175.5","189.4","182","126.9","203.73","146.3","160.8","178.2","181.7","141.8",
"합계","폐섬유류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","63.1",
"합계","영농폐기물","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","382.3","392.6","400.3","434.2","486.5","487.8","506.4","481.6","440.3","433.5","463.9","445.6","",
"합계","폐가구류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","426.2","342.5","386.87","317.3","328.3","325.5","374.6","440.4","522.3","626.8","439.9",
"합계","폐식용유","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","28.8","27.2","16.5","18.8","27","15.2","44.7","42.5","44","44.3",
"합계","재활용잔재물","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","1546.5","1703.7",
"합계","기타","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","537.2","448.7","532.4","677.4","760.2","794.6","848.2","877.3","955.9","1037.1","1131.2","603.5","578.6","636.7","909.3","865.9","725.8","666.5","607.5","706","579.3","535.6","261.3","304.2",
"합계","음식물류 폐기물 분리배출","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","9956.1","12024.7","12405.5","12042.1","11580.5","11428.6","11498","11010.2","11736.6","13325.5","13542","13401.8","13359.9","13138.8",
"서울특별시","총계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","10785","9940.6","9040.2","9206.7","9389.2","9719.4","10141.7","9806.6","9842.1","9127.7","8947.4","9964","9767.9","9505.5","8393.6","7943.3","8010.6","7567.7","8666.5","8657.4","8750.9","8431.5","8586.9","8658",
"서울특별시","소계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","2947.6","2908.8","3015.7","2864.4","2810.2","2948","2691.7","2849.3","2835.8","2857.8","3214.6",
"서울특별시","소계","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","6354","5774.7","5390.2","5530.8","5843.3","6370.6","6265.9","5747.6","6150.2","5460.4","2988.9","3059.8","2971.6","2853.4","2754","2865.5","2724.5","2668","2834.4","2562.8","2753.8","2666","2602.1","2925",
"서울특별시","음식물류폐기물","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","3116","2758","2544.9","2320.2","2098.9","2188.8","2150","1642.4","2080.7","2302.7","0",".9","104.3","0","3","12.6","17.8","2.5","27.1","48","47.9","79.2","106.6","127.9",
"서울특별시","폐지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","1362","1318.1","1141.3","1188.8","1056.2","1085.3","966.5","988.9","1247.2","1105.7","853.2","870.4","726.1","663.5","608.2","833.6","711.4","740.6","748.8","891.3","956.3","894.9","785.9","802.9",
"서울특별시","폐합성수지류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","530",
"서울특별시","폐목재류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","365","352.1","323.6","304","338.6","482.3","352.1","389.5","439.8","355.4","420.1","333.1","258.8","165.9","157.4","191.4","213.5","132.4","128","141.2","133.2","187.1","142.9","163.1",
"서울특별시","폐섬유류","폐기물 발생현황_생활폐기물(1996~2019)[톤/일]","톤/일","","","","","","","","","","","","","","","","","","","","","","","","112.7",
